     timestamp      | duration | description
2025-09-01 01:29:59 |  1.34s   | 🎈No new notices found
2025-09-01 01:40:33 |  1.40s   | 🎈No new notices found
2025-09-01 01:50:57 |  4.52s   | 🎈No new notices found
2025-09-01 02:10:38 |  1.71s   | 🎈No new notices found
2025-09-01 02:30:21 |  1.90s   | 🎈No new notices found
2025-09-01 02:42:38 |  4.41s   | 🎈No new notices found
2025-09-01 02:53:35 |  1.62s   | 🎈No new notices found
2025-09-01 03:13:35 |  5.97s   | 🎈No new notices found
2025-09-01 03:28:44 |  1.80s   | 🎈No new notices found
2025-09-01 03:40:04 |  20.08s   | ❌Timeout error fetching webpage: HTTPSConnectionPool(host='www.dhakacollege.edu.bd', port=443): Max retries exceeded with url: /en/notice (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x7fd0cd1d4070>, 'Connection to www.dhakacollege.edu.bd timed out. (connect timeout=10)'))
2025-09-01 03:50:55 |  1.85s   | 🎈No new notices found
2025-09-01 04:09:07 |  2.81s   | 🎈No new notices found
2025-09-01 04:30:19 |  2.79s   | 🎈No new notices found
2025-09-01 04:43:15 |  1.46s   | 🎈No new notices found
2025-09-01 04:54:11 |  1.50s   | 🎈No new notices found
2025-09-01 05:15:27 |  1.63s   | 🎈No new notices found
2025-09-01 05:29:49 |  1.60s   | 🎈No new notices found
2025-09-01 05:41:18 |  1.86s   | 🎈No new notices found
2025-09-01 05:52:09 |  1.52s   | 🎈No new notices found
2025-09-01 07:11:12 |  1.49s   | 🎈No new notices found
2025-09-01 08:59:30 |  4.66s   | 🎈No new notices found
2025-09-01 09:55:12 |  2.11s   | 🎈No new notices found
2025-09-01 10:28:49 |  1.78s   | 🎈No new notices found
2025-09-01 10:49:31 |  1.83s   | 📢Found 1 new notices --> sent to telegram bot
2025-09-01 11:00:28 |  1.60s   | 🎈No new notices found
2025-09-01 11:29:05 |  1.66s   | 🎈No new notices found
2025-09-01 11:44:49 |  1.64s   | 🎈No new notices found
2025-09-01 11:55:52 |  3.62s   | 📢Found 2 new notices --> sent to telegram bot
2025-09-01 12:34:45 |  1.30s   | 🎈No new notices found
2025-09-01 12:56:00 |  1.56s   | 🎈No new notices found
2025-09-01 13:22:08 |  1.40s   | 🎈No new notices found
2025-09-01 13:37:00 |  1.65s   | 🎈No new notices found
2025-09-01 13:48:04 |  1.38s   | 🎈No new notices found
2025-09-01 13:58:33 |  1.69s   | 🎈No new notices found
2025-09-01 14:36:33 |  2.75s   | 📢Found 1 new notices --> sent to telegram bot
2025-09-01 14:54:00 |  1.58s   | 🎈No new notices found
2025-09-01 15:20:19 |  2.87s   | 🎈No new notices found
2025-09-01 15:40:07 |  1.29s   | 🎈No new notices found
2025-09-01 15:50:59 |  1.85s   | 🎈No new notices found
2025-09-01 16:12:18 |  2.11s   | 🎈No new notices found
2025-09-01 16:39:21 |  1.85s   | 🎈No new notices found
